City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Dauriya,RU,49.9333,116.8667,51.3,89,98,13.73,overcast clouds
168,Haines Junction,CA,60.7522,-137.5108,52.66,49,37,2.53,scattered clouds
169,Gambo,CF,4.6482,22.2633,70.2,97,62,2.84,broken clouds
170,Tagab,AF,34.855,69.6492,65.39,26,0,7.07,clear sky
171,Dudinka,RU,69.4058,86.1778,30.24,81,38,1.21,scattered clouds
172,Cap Malheureux,MU,-19.9842,57.6142,71.47,68,2,5.99,clear sky
173,Warangal,IN,18.0,79.5833,74.71,89,99,7.05,overcast clouds
174,Saint-Joseph,RE,-21.3667,55.6167,68.38,82,41,15.19,light rain
175,Vannes,FR,47.8333,-2.5,52.41,77,0,7.58,clear sky
176,Tezu,IN,27.9167,96.1667,73.29,96,22,3.94,few clouds
177,Benito Juarez,MX,19.385,-99.165,70.84,46,99,11.01,overcast clouds
178,College,US,64.8569,-147.8028,56.59,75,22,3.0,few clouds
179,Oranjemund,NA,-28.55,16.4333,56.55,92,100,7.18,overcast clouds
180,Adrar,MR,20.5022,-10.0711,90.48,19,5,11.86,clear sky
181,Skjeberg,NO,59.2333,11.2,55.54,67,68,7.72,broken clouds
182,Ouango,CF,4.3133,22.5552,71.73,93,89,3.06,light rain
183,Seoul,KR,37.5683,126.9778,74.59,96,66,1.59,broken clouds
184,Tripoli,LY,32.8752,13.1875,81.75,61,0,13.02,clear sky
185,Avarua,CK,-21.2078,-159.775,77.05,69,20,16.11,few clouds
186,Hualmay,PE,-11.0964,-77.6139,65.28,75,38,9.17,scattered clouds
187,Sao Filipe,CV,14.8961,-24.4956,78.89,82,93,8.28,overcast clouds
188,Amberley,US,39.2048,-84.428,84.94,52,0,5.75,clear sky
189,Miri,MY,4.4148,114.0089,76.23,87,99,2.75,overcast clouds
190,Chapais,CA,49.7834,-74.8492,55.94,42,23,7.63,few clouds
191,Erzin,TR,36.9559,36.2,73.8,78,0,1.1,clear sky
192,Souillac,MU,-20.5167,57.5167,70.18,78,40,13.8,light rain
193,Puerto Ayora,EC,-0.7393,-90.3518,68.56,88,96,5.99,overcast clouds
194,Hobart,AU,-42.8794,147.3294,48.06,90,75,5.75,broken clouds
195,Saldanha,ZA,-33.0117,17.9442,57.49,90,52,7.11,broken clouds
196,Whitehorse,CA,60.7161,-135.0538,54.1,55,75,6.91,broken clouds
197,Bila Krynytsya,UA,50.6398,29.4704,52.66,82,75,5.46,broken clouds
198,Shelburne,CA,44.0787,-80.2041,72.23,71,100,5.59,overcast clouds
199,Leshukonskoye,RU,64.8989,45.7622,49.21,97,100,5.73,overcast clouds
200,Klaksvik,FO,62.2266,-6.589,47.32,81,89,14.41,overcast clouds
201,Ercis,TR,39.0287,43.3586,62.13,35,1,5.23,clear sky
202,Krasnoselkup,RU,65.7,82.4667,40.75,73,100,9.64,overcast clouds
203,Kenora,CA,49.8167,-94.4337,51.78,100,100,11.01,light rain
204,Petrokamenskoye,RU,57.716,60.6484,52.39,45,100,10.38,overcast clouds
205,Pacific Grove,US,36.6177,-121.9166,76.39,77,32,8.01,scattered clouds
206,Acapulco,MX,16.8634,-99.8901,82.94,77,100,7.61,overcast clouds
207,Salinas,US,36.6777,-121.6555,83.98,64,0,9.37,clear sky
208,Ust-Maya,RU,60.4167,134.5333,29.19,88,1,3.09,clear sky
209,Pevek,RU,69.7008,170.3133,34.52,74,100,6.02,overcast clouds
210,Nelson Bay,AU,-32.7167,152.15,60.1,75,100,4.0,overcast clouds
211,Ambon,ID,-3.6954,128.1814,77.23,15,40,5.75,light rain
212,Wamba,NG,8.9333,8.6,72.36,94,97,1.88,light rain
213,Batouri,CM,4.4333,14.3667,68.02,98,98,3.36,overcast clouds
214,Opuwo,NA,-18.0607,13.84,72.95,21,2,2.86,clear sky
215,Shatoy,RU,42.8714,45.6886,65.25,53,61,8.37,broken clouds
216,Faanui,PF,-16.4833,-151.75,77.94,74,64,23.6,broken clouds
217,Kiruna,SE,67.8557,20.2251,43.72,100,100,10.36,mist
218,Aripuana,BR,-9.1667,-60.6333,92.19,36,97,0.22,overcast clouds
219,Rawson,AR,-43.3002,-65.1023,46.94,75,100,18.48,overcast clouds
220,San Policarpo,PH,12.1791,125.5072,79.09,79,100,8.41,overcast clouds
